T posX posY posZ VecX VecY VecZ AX AY AZ
0    1.000000 0.000000 4000.000000 50.000000 0.000000 0.000000 -7.812500 -0.000000 -9.800000
1 51.000000 0.000000 4000.000000 42.187500 0.000000 -9.800000 -5.709920 -0.000000 -8.473607
2 93.187500 0.000000 3990.199951 36.477581 0.000000 -18.273607 -4.650750 -0.000000 -7.470186
3 129.665085 0.000000 3971.926270 31.826832 0.000000 -25.743793 -4.071368 -0.000000 -6.506790
4 161.491913 0.000000 3946.182373 27.755465 0.000000 -32.250584 -3.690572 -0.000000 -5.511724
5 189.247375 0.000000 3913.931885 24.064892 0.000000 -37.762306 -3.367465 -0.000000 -4.515819
6 213.312271 0.000000 3876.169678 20.697426 0.000000 -42.278126 -3.044626 -0.000000 -3.580817
7 234.009705 0.000000 3833.891602 17.652800 0.000000 -45.858944 -2.710766 -0.000000 -2.757896
8 251.662506 0.000000 3788.032715 14.942034 0.000000 -48.616840 -2.374905 -0.000000 -2.072779
9 266.604553 0.000000 3739.415771 12.567128 0.000000 -50.689621 -2.050964 -0.000000 -1.527417
10 279.171692 0.000000 3688.726074 10.516164 0.000000 -52.217037 -1.750463 -0.000000 -1.108237
11 289.687866 0.000000 3636.509033 8.765700 0.000000 -53.325275 -1.480333 -0.000000 -0.794539
12 298.453552 0.000000 3583.183838 7.285367 0.000000 -54.119816 -1.243247 -0.000000 -0.564458
13 305.738922 0.000000 3529.063965 6.042120 0.000000 -54.684273 -1.038811 -0.000000 -0.398225
14 311.781036 0.000000 3474.379639 5.003308 0.000000 -55.082497 -0.864779 -0.000000 -0.279461
15 316.784332 0.000000 3419.297119 4.138529 0.000000 -55.361958 -0.717989 -0.000000 -0.195319
16 320.922852 0.000000 3363.935059 3.420541 0.000000 -55.557278 -0.594987 -0.000000 -0.136076
17 324.343384 0.000000 3308.377686 2.825554 0.000000 -55.693356 -0.492397 -0.000000 -0.094566
18 327.168945 0.000000 3252.684326 2.333157 0.000000 -55.787922 -0.407112 -0.000000 -0.065585
19 329.502106 0.000000 3196.896484 1.926045 0.000000 -55.853508 -0.336376 -0.000000 -0.045410
20 331.428162 0.000000 3141.042969 1.589669 0.000000 -55.898918 -0.277802 -0.000000 -0.031400
21 333.017822 0.000000 3085.144043 1.311867 0.000000 -55.930317 -0.229354 -0.000000 -0.021685
22 334.329681 0.000000 3029.213623 1.082513 0.000000 -55.952003 -0.189313 -0.000000 -0.014960
23 335.412201 0.000000 2973.261719 0.893200 0.000000 -55.966965 -0.156238 -0.000000 -0.010313
24 336.305389 0.000000 2917.294678 0.736962 0.000000 -55.977276 -0.128927 -0.000000 -0.007103
25 337.042358 0.000000 2861.317383 0.608035 0.000000 -55.984379 -0.106383 -0.000000 -0.004889
26 337.650391 0.000000 2805.333008 0.501652 0.000000 -55.989269 -0.087776 -0.000000 -0.003362
27 338.152039 0.000000 2749.343750 0.413877 0.000000 -55.992630 -0.072421 -0.000000 -0.002312
28 338.565918 0.000000 2693.351074 0.341456 0.000000 -55.994942 -0.059750 -0.000000 -0.001588
29 338.907379 0.000000 2637.356201 0.281705 0.000000 -55.996529 -0.049296 -0.000000 -0.001091
30 339.189087 0.000000 2581.359619 0.232409 0.000000 -55.997620 -0.040670 -0.000000 -0.000749
31 339.421509 0.000000 2525.362061 0.191739 0.000000 -55.998367 -0.033554 -0.000000 -0.000514
32 339.613251 0.000000 2469.363770 0.158185 0.000000 -55.998882 -0.027682 -0.000000 -0.000352
33 339.771423 0.000000 2413.364990 0.130503 0.000000 -55.999233 -0.022838 -0.000000 -0.000242
34 339.901917 0.000000 2357.365723 0.107666 0.000000 -55.999474 -0.018841 -0.000000 -0.000166
35 340.009583 0.000000 2301.366211 0.088824 0.000000 -55.999641 -0.015544 -0.000000 -0.000113
36 340.098419 0.000000 2245.366455 0.073280 0.000000 -55.999756 -0.012824 -0.000000 -0.000077
37 340.171692 0.000000 2189.366699 0.060456 0.000000 -55.999832 -0.010580 -0.000000 -0.000053
38 340.232147 0.000000 2133.366943 0.049876 0.000000 -55.999886 -0.008728 -0.000000 -0.000036
39 340.282013 0.000000 2077.366943 0.041148 0.000000 -55.999920 -0.007201 -0.000000 -0.000025
40 340.323151 0.000000 2021.367065 0.033947 0.000000 -55.999947 -0.005941 -0.000000 -0.000017
41 340.357086 0.000000 1965.367065 0.028006 0.000000 -55.999962 -0.004901 -0.000000 -0.000012
42 340.385101 0.000000 1909.367065 0.023105 0.000000 -55.999973 -0.004043 -0.000000 -0.000008
43 340.408203 0.000000 1853.367065 0.019062 0.000000 -55.999981 -0.003336 -0.000000 -0.000007
44 340.427277 0.000000 1797.367065 0.015726 0.000000 -55.999989 -0.002752 -0.000000 -0.000003
45 340.442993 0.000000 1741.367065 0.012974 0.000000 -55.999992 -0.002270 -0.000000 -0.000002
46 340.455963 0.000000 1685.367065 0.010704 0.000000 -55.999996 -0.001873 -0.000000 -0.000002
47 340.466675 0.000000 1629.367065 0.008830 0.000000 -55.999996 -0.001545 -0.000000 -0.000002
